Case Number,Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Time,Species,Investigator or Source,href
1915.08.03,1915-08-03,1915,Unprovoked,USA,Florida,"St. Augustine, St Johns County",,M,,Laceration to left leg,N,,,,http://sharkattackfile.net/spreadsheets/pdf_directory/1915.08.03-Turnipseed.pdf
1915.07.06.a.R,1915-07-06,1915,Unprovoked,MEXICO,Tamaulipas,Tampico,Fishing,M,,FATAL,Y,,,"Oakland Tribune, 7/6/1915",http://sharkattackfile.net/spreadsheets/pdf_directory/1915.07.06.b.R-Thaxton.pdf
1915.07.06.a.R,1915-07-06,1915,Unprovoked,MEXICO,,Santa Maria Bar,Wading,M,,FATAL,Y,,,"Oakland Tribune, 7/6/1915",http://sharkattackfile.net/spreadsheets/pdf_directory/1915.07.06.a.R-McDonald.pdf
1915.05.15.R,1915-05-15,1915,Provoked,EGYPT,,Alexandria,,M,,Shark involvement not confirmed,,,Shark involvement prior to death unconfirmed,"C. Moore, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1915.05.15.R-Alexandria.pdf
1915.03.29,1915-03-29,1915,Unprovoked,AUSTRALIA,Torres Strait,Near Thursday Island,Diving,M,,"Shoulder bitten. Hana, one of the rescuers, fended shark off with an oar, then shark bit oar in two",N,,3 m [10'] shark,"N. Bartlett, pp.234",http://sharkattackfile.net/spreadsheets/pdf_directory/1915.03.29-Hana.pdf
1915.02.06,1915-02-06,1915,Unprovoked,AUSTRALIA,Queensland,Wynnum-Manley,Swimming,M,,Foot bitten,N,,,"Brisbane Courier, 2/8/1915",http://sharkattackfile.net/spreadsheets/pdf_directory/1915.02.06-Stanton.pdf
1915.01.13,1915-01-13,1915,Provoked,NEW ZEALAND,North Island,Otaki,Fishing,M,,Death may have been due to drowning,,,Shark involvement prior to death unconfirmed,"The Mercury, 1/14/1915",http://sharkattackfile.net/spreadsheets/pdf_directory/1915.01.13-Hodge.pdf
1915.01.01,1915-01-01,1915,Unprovoked,AUSTRALIA,New South Wales,"Sirius Cove, Sydney Harbor",,M,17,FATAL,Y,,,"G.P. Whitley, citing Argus (Melbourne) 1/5/1915; V.M. Coppleson (1958), p.70",http://sharkattackfile.net/spreadsheets/pdf_directory/1915.01.01-Tooze.pdf
1915.00.00,,1915,Provoked,USA,Florida,"Soldier Key, Miami-Dade County",,M,,"Fatal, drowning or scavenging",,,"Reported to involve a 3.7 m [12'] shark, possibly a white shark","Fishing Gazette 1915, Vol. 32, No. 10, p.296",http://sharkattackfile.net/spreadsheets/pdf_directory/1915.00.00-HumanRemains.pdf
1914.12.04.R,1914-12-04,1914,Unprovoked,AUSTRALIA,Queensland,Magnetic Island,Swimming,M,,Lacerations to right thigh and knee,N,,,"Northern Miner, 12/4/1914",http://sharkattackfile.net/spreadsheets/pdf_directory/1914.12.04.R-Steinstecke.pdf
1914.10.17,1914-10-17,1914,Unprovoked,SAMOA,Apolima Strait,Opposite Apelima &  Manona,,F,,Thigh bitten,N,,,"Evening Post, 12/2/1914",http://sharkattackfile.net/spreadsheets/pdf_directory/1914.10.17-Samoa.pdf
1914.09.26.R,1914-09-26,1914,Unprovoked,JAMAICA,Kingston Parish,Port Royal,,M,,FATAL,Y,,"A 20' shark known as ""Old Tom""","Stevens Point Daily Journal, 9/26/1914, p.2 ",http://sharkattackfile.net/spreadsheets/pdf_directory/1914.09.26.R-Jamaica.pdf
1914.09.09,1914-09-09,1914,Unprovoked,USA,Louisiana,Lake Pontchartrain,Swimming,M,17,FATAL,Y,,,"Washington Post, 9/10/1914, p.6",http://sharkattackfile.net/spreadsheets/pdf_directory/1914.09.09-PeterKontspoulas.pdf
1914.07.15.R,1914-07-15,1914,Unprovoked,CROATIA,Zadar County,Biograd na moru,,F,,"No injury, shark grabbed clothes",N,,1.5 m [5'] shark,"C. Moore, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1914.07.15.R.pdf
1914.07.08.R,1914-07-09,1914,Provoked,USA,Louisiana,New Orleans,Fishing,M,,PROVOKED INCIDENT    Legs severed by shark entangled in his net,N,,,"Lima Daily News, 7/9/1914",http://sharkattackfile.net/spreadsheets/pdf_directory/1914.07.08.R-Lopez.pdf
1914.07.07,1914-07-07,1914,Unprovoked,CROATIA, Primorje-Gorski Kotar County,Rijeka,,M,,"No injury, shark nudged raft and circled for 2 hrs.",N,,6 m shark,"C. Moore, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1914.07.07.pdf
1914.06.12,1914-06-13,1914,Provoked,MONTENEGRO,Adriatic Sea,Between St. Stjepan and Budva,Fishing,M,,"No injury, shark bit paddle and stern of boat",N,07h00,,"C. Moore, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1914.06.13-Budva.pdf
1914.06.10,1914-06-10,1914,Unprovoked,AUSTRALIA,Victoria,Sandringham,,M,43,FATAL,Y,Afternoon,,"Evening Post, 6/11/1914",http://sharkattackfile.net/spreadsheets/pdf_directory/1914.06.10-Croxford.pdf
1914.05.31,1914-05-31,1914,Unprovoked,NEW CALEDONIA,South Province,Noumea,Swimming,M,,FATAL x 2,Y,,,"The Mercury, 6/23/1914",http://sharkattackfile.net/spreadsheets/pdf_directory/1914.05.31-Child-Kanaka.pdf
1914.05.14,1914-05-14,1914,Provoked,USA,Florida,"Boca Ciega Bay, Pinellas County",Fishing,F,,PROVOKED INCIDENT Lacerations to right hand by hooked shark,N,Afternoon,3' shark,"Evening Independent, 5/14/1914, p.1",http://sharkattackfile.net/spreadsheets/pdf_directory/1914.05.14-Cummings.pdf
1914.03.14.R,1914-03-14,1914,Provoked,USA,Florida,"St. Augustine, St Johns County",Swimming,M,,His remains were recovered from a shark 3 years after his disappearance - Probable drowning / scavenging,,,Shark involvement prior to death unconfirmed,"Washington Post, 3/14/1914, p.E9",http://sharkattackfile.net/spreadsheets/pdf_directory/1914.03.14.R-Mooney.pdf
1914.03.10.R,1914-03-10,1914,Unprovoked,GUYANA,Essequibo,Essequibo River Mouth,,M,,FATAL,Y,,,"C. Moore, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1914.03.10.R-Brook.pdf
1914.03.03,1914-03-03,1914,Unprovoked,USA,Hawaii,"Honomu, Hawai'i",,M,,FATAL,Y,,,C.H. Townsend,http://sharkattackfile.net/spreadsheets/pdf_directory/1914.03.03-Okomoto.pdf
1914.02.09.R,1914-02-09,1914,Unprovoked,AUSTRALIA,South Australia,Marion Bay,Wading,M,,Lacerations to foot,N,,said to involve a tiger shark,"The Advertiser, 2/10/1914",http://sharkattackfile.net/spreadsheets/pdf_directory/1914.02.09.R-Hasell.pdf
1914.02.03,1914-02-03,1914,Unprovoked,AUSTRALIA,New South Wales,Paramatta River,,M,,Lacerations to arms,N,,,"Oakland Tribune, 3/241914, p.22",http://sharkattackfile.net/spreadsheets/pdf_directory/1914.02.03-Dabbs.pdf
1914.01.17.R,1914-01-17,1914,Unprovoked,AUSTRALIA,Queensland,Brisbane,Wading,F,,Laceration to leg,N,,,"The Queenslandert , 1/17/1914",http://sharkattackfile.net/spreadsheets/pdf_directory/1914.01.17.R-Schmidt.pdf
1914.00.00,1914-01-01,1914,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Durban,,F,,No details,UNKNOWN,,,"L. Green, South African Beachcomber, p.97",http://sharkattackfile.net/spreadsheets/pdf_directory/1914.00.00-IndianWoman.pdf
1913.12.30.R,1913-12-30,1913,Provoked,USA,Florida,"Palm Beach, Palm Beach County",Fishing,,,No injury to occupants but hull splintered by harpooned shark PROVOKED INCIDENT,N,,13' shark,"New Smyrna Daily News, 1/2/1914, p.12",http://sharkattackfile.net/spreadsheets/pdf_directory/1913.12.30.R-Colgate Boat.pdf
1913.12.26.R,1913-12-26,1913,Unprovoked,CUBA,,off Neuvitas,,M,,FATAL,Y,,,"Tampa Bay Times, 12/26/1913",http://sharkattackfile.net/spreadsheets/pdf_directory/http://sharkattackfile.net/spreadsheets/pdf_directory/1913.12.26.R-Schwertz.pdf
1913.11.27,1913-11-27,1913,Unprovoked,NIGERIA,Lagos ,Lagos,,M,,FATAL,Y,,,"The Times (London), 7/21/1914, p.7; Lima Daily News, 1/10/1914",http://sharkattackfile.net/spreadsheets/pdf_directory/1913.11.27-Denny.pdf
1913.11.21,1913-11-21,1913,Unprovoked,AUSTRALIA,Queensland,"Sandgate Jetty, Brisbane",Swimming,M,12,Calf severely bitten;  leg surgically amputated,N,,,"Sydney Morning Herald, 11/24/1913 ",http://sharkattackfile.net/spreadsheets/pdf_directory/1913.11.21-Boucher.pdf
1913.09.21,1913-09-21,1913,Unprovoked,USA,Florida,"West Palm Beach, Palm Beach County",,M,,Major injuries but survived,N,,Said to involve a 2.4 m [8'] hammerhead shark,"V.M. Coppleson (1958), p.251; T. Helm, p.212",http://sharkattackfile.net/spreadsheets/pdf_directory/1913.09.21-WestPalmBeach.pdf
1913.09.03,1913-09-03,1913,Provoked,CROATIA,Istria County,Pula,,M,,Badly bitten by a shark dragged onboard PROVOKED INCIDENT,N,,2 m shark,"C.Moore, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1913.09.03-Croatia.pdf
1913.08.27.R,1913-08-27,1913,Provoked,USA,New Jersey,"Lavalette, Ocean County",,M,,Man's leg recovered from 800-lb shark,,,Shark involvement prior to death unconfirmed,"Trenton Evening Times, 8/27/1913",http://sharkattackfile.net/spreadsheets/pdf_directory/1913.08.27.R-Lavalette.pdf
1913.08.27.R,1913-08-27,1913,Provoked,USA,New Jersey,"Spring Lake, Monmouth County",,F,,Female foot recovered from shark,,,Shark involvement prior to death unconfirmed,"Washington Post, 8/27/1913",http://sharkattackfile.net/spreadsheets/pdf_directory/1913.08.27.R-FemaleFoot.pdf
1913.08.26.R,1913-08-26,1913,Provoked,ITALY,Trieste,,,,,Human casualties,,,Shark involvement prior to death unconfirmed,"C. Moore, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1913.08.26.R-Trieste.pdf
1913.07.12,1913-07-12,1913,Unprovoked,USA,South Carolina,Charleston,,M,,FATAL,Y,,,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1913.07.12-soldier.pdf
1913.07.10.R,1913-07-10,1913,Unprovoked,COSTA RICA,,Port Limon,Swimming,M,,FATAL,Y,,,"The Potter Enterprise, 7/10/1913",http://sharkattackfile.net/spreadsheets/pdf_directory/1913.07.10.R-PortLimon.pdf
1913.05.21,1913-05-21,1913,Provoked,USA,Florida,"John's Pass, Pinellas County",Fishing,M,,"Forefinger of right hand bitten by a ""dead"" shark PROVOKED INCIDENT",N,,,"Evening Independent, 5/22/1913",http://sharkattackfile.net/spreadsheets/pdf_directory/1913.05.21-Roberts.pdf
1913.05.02,1913-05-02,1913,Provoked,AUSTRALIA,New South Wales,,,M,,Lacerations to thigh by netted shark PROVOKED INCIDENT,N,,,"Northern Star, 5/7/1913",http://sharkattackfile.net/spreadsheets/pdf_directory/1913.05.02-Moss.pdf
1913.03.27,1913-03-27,1913,Unprovoked,SAMOA,Upolu Island,Apia Harbor,,M,,Leg severed,N,,,"Coppleson (1962), p.247",http://sharkattackfile.net/spreadsheets/pdf_directory/1913.03.27-Samoa.pdf
1913.01.00,1913-01-01,1913,Unprovoked,AUSTRALIA,Torres Strait,Thursday Island,Diving,M,,"Head, neck & left shoulder bitten",N,,Tiger shark ,"N. Bartlett, pp.232-233; V.M. Coppleson (1958), p.7 ",http://sharkattackfile.net/spreadsheets/pdf_directory/1913.01.00-Treacle.pdf
1913.00.00.d,1913-01-01,1913,Unprovoked,REUNION,Saint-Denis,Barachoise bridge,Swimming,M,,FATAL,Y,,,H. Cornu,http://sharkattackfile.net/spreadsheets/pdf_directory/1913.00.00.d-ReunionIsland.pdf
1913.00.00.c,1913-01-01,1913,Unprovoked,REUNION,5aint-Denis,Barachois,Swimming,M,,FATAL,Y,,,H. Cornu,http://sharkattackfile.net/spreadsheets/pdf_directory/1913.00.00.c-ReunionIsland.pdf
1913.00.00.a,1913-01-01,1913,Unprovoked,AUSTRALIA,Victoria,Brighton,,M,,Arm severed,N,,,"V.M. Coppleson (1958), p.110 [ Note: Coppleson had no concrete evidence about this incident; he heard only ""vague reports"".",http://sharkattackfile.net/spreadsheets/pdf_directory/1913.00.00.a-youth.pdf
1912.11.30.R,1912-11-30,1912,Unprovoked,PHILIPPINES,,,Swimming,F,19,FATAL,Y,,,"C.Moore, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1912.11.30.R-Lambert.pdf
1912.08.30,1912-08-30,1912,Unprovoked,USA,Georgia,"Tybee Island, Chatham County",Swimming,M,12,FATAL,Y,,,"Atlanta Constitution, 8/31/1912, p.5",http://sharkattackfile.net/spreadsheets/pdf_directory/1912.08.30-Coffee.pdf
1912.07.23,1912-07-23,1912,Unprovoked,USA,South Carolina,Sullivan's Island,Swimming,M,,Toes severed,N,Afternoon,8' shark,"Atlanta Constitution, 7/25/1912",http://sharkattackfile.net/spreadsheets/pdf_directory/1912.07.23-Kirkpatrick.pdf
1912.07.06.R,1912-07-06,1912,Unprovoked,SOLOMON ISLANDS,Central Province,Savo,,M,,FATAL,Y,,,"Sydney Morning Herald, 7/6/1912",http://sharkattackfile.net/spreadsheets/pdf_directory/1912.07.06.R-Savo.pdf
1912.05.04,1912-05-04,1912,Provoked,SOUTH AFRICA,KwaZulu-Natal,Durban,,M,,,,,Shark involvement prior to death unconfirmed,"M. Levine, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1912.05.04-arm.pdf
1912.03.18,1912-03-18,1912,Unprovoked,NEW ZEALAND,North Island,Takapuna,Swimming,M,,"""Slight laceration to leg""",N,,,"Evening Post, 3/20/1912",http://sharkattackfile.net/spreadsheets/pdf_directory/1912.03.18-Takapuna.pdf
1912.02.22,1912-02-22,1912,Provoked,AUSTRALIA,Western Australia,Bunbury,Diving,M,,"No injury, shark nipped diving suit after he prodded the shark PROVOKED INCIDENT ",N,,,"Western Argus, 2/27/1912",http://sharkattackfile.net/spreadsheets/pdf_directory/1912.02.22-Swanson.pdf
1912.02.19,1912-02-19,1912,Unprovoked,AUSTRALIA,New South Wales,Coogee,Swimming,M,18,Left calf & heel bitten,N,16h00,,"Argus (Melbourne) 2/20/1912, p.6; G.P. Whitley, p.260",http://sharkattackfile.net/spreadsheets/pdf_directory/1912.02.19-Wort.pdf
1912.02.03,1912-02-03,1912,Unprovoked,NEW CALEDONIA,South Province,Noumea,Swimming,M,,Left shoulder & both legs bitten,N,,,"Northern Star, 3/16/1912",http://sharkattackfile.net/spreadsheets/pdf_directory/1912.02.03-Gillies.pdf
1912.01.26,1912-01-26,1912,Unprovoked,AUSTRALIA,New South Wales,"Fig Tree Bridge, Lane Cove River, near Sydney ",Swimming,M,21,FATAL,Y,15h00,"2.8 m [9'3""] whaler shark captured 3 days later with his remains in its gut","Argus (Melbourne) 1/27, 28, 29, 30/1912; G.P. Whitley, p.260; V.M. Coppleson (1962), p.245;  A. Sharpe, p.88",http://sharkattackfile.net/spreadsheets/pdf_directory/1912.01.26-Morgan.pdf
1912.01.13.R,1912-01-13,1912,Unprovoked,FIJI,Viti Levu group,Beqa,,M,7,FATAL,Y,,,"Clarence & Richmond Examiner, 1/13/1912",http://sharkattackfile.net/spreadsheets/pdf_directory/1912.01.13.R-Fiji.pdf
1912.01.06,1912-01-06,1912,Unprovoked,AUSTRALIA,New South Wales,Sydney Harbor,,M,,Thigh & lower abdomen severely bitten,N,,"C. macrurus captured 48 hours after attack with tissue removed from man in its gut; species identified by G.P. Whitley,  reported as C. obscurus by  R. Steel"," V.M. Coppleson (1933), page 450, citing J. Burton Cleland Australasian Medical Gazette, September 14, 1912, page 270",http://sharkattackfile.net/spreadsheets/pdf_directory/1912.01.06-Sydney.pdf
1912.01.01,1912-01-01,1912,Unprovoked,AUSTRALIA,Queensland,Ross Creek,,M,,FATAL,Y,Morning,,"Argus, 1/2/1912",http://sharkattackfile.net/spreadsheets/pdf_directory/1912.01.01-Tristing.pdf
1912.00.00,1912-01-01,1912,Unprovoked,SPAIN,Balearics,Isla Cabrera,,M,,FATAL,Y,,White shark,C. Moore. GSAF,http://sharkattackfile.net/spreadsheets/pdf_directory/1912.00.00-Isla-Cabrera-Balearics.pdf
1911.11.08,1911-11-08,1911,Provoked,USA,Florida,"Pensacola Bay, Escambia County",,M,,"Cause of death undetermined. 3.6 m [11'9""] shark seen carrying body. Next day, shark was killed & Antoine's entire body was found in its gut.",,,Shark involvement prior to death unconfirmed,"The Sun, 7/13/1913; H.D. Baldridge, p.170",http://sharkattackfile.net/spreadsheets/pdf_directory/1911.11.08-Antonine.pdf
1911.10.26,1911-10-26,1911,Unprovoked,USA,South Carolina,Off Charleston,,M,,FATAL,Y,,,"Fresno Bee, 10/31/1911",http://sharkattackfile.net/spreadsheets/pdf_directory/1911.10.26-Spencer.pdf
1911.10.25,1911-10-25,1911,Unprovoked,AUSTRALIA,Queensland,Great Barrier Reef,Diving,M,23,Calves bitten,N,Evening,,"Cairns Post, 11/2/1911",http://sharkattackfile.net/spreadsheets/pdf_directory/1911.10.25-Toby.pdf
1911.09.23,1911-09-23,1911,Unprovoked,USA,Texas,Galveston Ship Channel,,M,,FATAL,Y,Early morning,,"The Sun, 7/13/1913; V.M. Coppleson (1962), p.249",http://sharkattackfile.net/spreadsheets/pdf_directory/1911.09.23-Blomquist.pdf
1911.09.20,1911-09-20,1911,Unprovoked,USA,Florida,"Pensacola Bay, Escambia County",Swimming,M,,FATAL,Y,,,"The Sun, 7/13/1913; Washington Post, 9/21/1911; V.M. Coppleson (1962) p.249",http://sharkattackfile.net/spreadsheets/pdf_directory/1911.09.20-Ashe.pdf
1911.09.17,1911-09-17,1911,Unprovoked,USA,Florida,"Pablo Beach, Jacksonville, Duval County",,M,,Left arm & thigh bitten,N,,,"Sun, 7/13/1913; V.M. Coppleson (1962), p.249",http://sharkattackfile.net/spreadsheets/pdf_directory/1911.09.17-HCRood.pdf
1911.07.31.R,1911-07-31,1911,Unprovoked,SPAIN,Málaga ,Ceuta,,M,,FATAL,Y,,,C. Moore. GSAF,http://sharkattackfile.net/spreadsheets/pdf_directory/1911.07.31.R-Ceuta.pdf
1911.07.16.R,1911-07-16,1911,Provoked,USA,Delaware,Delaware Lightship,Fishing,M,,"Hooked shark bit his leg, knee to ankle PROVOKED INCIDENT",N,,,"Washington Post, 7/16/1911",http://sharkattackfile.net/spreadsheets/pdf_directory/1911.07.16.R-Berg.pdf
1911.05.09,1911-05-09,1911,Unprovoked,SOUTH AFRICA,Western Cape Province,Victoria Bay,,M,64,"FATAL, partial remains recovered",Y,"""Early evening""",,"Cape Mercantile Advertiser, 5/16/1911; M. Levine, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1911.05.09-JamesMay.pdf
1911.05.01.R,1911-05-01,1911,Provoked,USA,Texas,"Rockport, Aransas County",Fishing,M,,Bitten on left leg by hooked shark PROVOKED INCIDENT,N,,5' shark,"Daily Advocate, 5/1/1911",http://sharkattackfile.net/spreadsheets/pdf_directory/1911.05.01.R-Zepada.pdf
1911.05.01,1911-05-01,1911,Unprovoked,SOUTH AFRICA,Western Cape Province,Victoria Bay,Swimming,M,,FATAL,Y,,,"Cape Mercantile Advertiser, 5/2/1911, M. Levine, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1911.05.01-Jantjies.pdf
1911.04.08.R,1911-04-08,1911,Provoked,NEW ZEALAND,Chatham Islands,,Fishing,,,"No injury to occupants, shark bit boat",N,,,"Grey River Argus, 4/8/1911",http://sharkattackfile.net/spreadsheets/pdf_directory/1911.04.08.R-ChathamIslandBoat.pdf
1911.03.29.R,1911-03-29,1911,Unprovoked,AUSTRALIA,Torres Strait,Thursday Island,Swimming,M,,FATAL,Y,,,"Northern Star, 3/29/1911",http://sharkattackfile.net/spreadsheets/pdf_directory/1911.03.29.R-ThursdayIsland.pdf
1911.01.04,1911-01-04,1911,Unprovoked,AUSTRALIA,Western Australia,Off Legendre Island,,M,22,Minor injuries,N,,,"Washington Post, 1/26/1913",http://sharkattackfile.net/spreadsheets/pdf_directory/1911.01.04-Katola.pdf
1911.00.00.b,1911-01-01,1911,Unprovoked,USA,Texas,"Texas City, Galveston",Swimming,M,,Minor injury to feet,N,,,D.G. McComb,http://sharkattackfile.net/spreadsheets/pdf_directory/1911.00.00.b-TexasCity.pdf
1911.00.00.a,,1911,Unprovoked,NEW ZEALAND,North Island,"Manukau Harbor, 6 miles south of Auckland",Fishing,M,50,FATAL,Y,,,H.C. Chapman,http://sharkattackfile.net/spreadsheets/pdf_directory/1911.00.00.a-Manukau Harbor.pdf
1910.12.25.R,1910-12-25,1910,Provoked,CROATIA, Primorje-Gorski Kotar County,Rijeka,,M,,FATAL?,,,Questionable,C. Moore. GSAF,http://sharkattackfile.net/spreadsheets/pdf_directory/1910.12.15.R-Rijeka.pdf
1910.12.23.R,1910-12-23,1910,Unprovoked,AUSTRALIA,Western Australia,Fremantle,,M,,FATAL,Y,,,"Iowa City Citizen, 12/23/1910",http://sharkattackfile.net/spreadsheets/pdf_directory/1910.12.23.R-Anderson.pdf
1910.11.28,1910-11-28,1910,Provoked,NORTH ATLANTIC OCEAN,Georges Bank,,Fishing,M,,Right hand severely bitten by netted shark PROVOKED INCIDENT,N,,Angel shark,"NY Times, 11/30/1910",http://sharkattackfile.net/spreadsheets/pdf_directory/1910.11.28-Key.pdf
1910.11.24,1910-11-24,1910,Unprovoked,AUSTRALIA,Queensland,Mackay,,M,,Foot bitten,N,,Said to involve  9' blue shark,"The Advertiser, 11/25/1910",http://sharkattackfile.net/spreadsheets/pdf_directory/1910.11.24-Smith.pdf
1910.06.25.R,1910-06-25,1910,Unprovoked,MEXICO,,LaBarra,Swimming,M,,Leg bitten,N,,,"Indiana Evening Gazette, 9/25/1910",http://sharkattackfile.net/spreadsheets/pdf_directory/1910.06.25.R-Gebler.pdf
1910.06.08.R,1910-06-08,1910,Unprovoked,MOZAMBIQUE,Zambesi River,Portuguese territory,,,,"FATAL, 3 passengers & 14 crew taken by sharks, captain, 1 passenger & 2 crew survived",Y,,,D. Davies,http://sharkattackfile.net/spreadsheets/pdf_directory/1910.06.08.R-Durao.pdf
1910.05.16.R,1910-05-16,1910,Provoked,USA,Alabama,"Off Fort Gaines, Dauphin Island, Mobile County",,M,,Presumed drowned & bodies taken by sharks,,,Shark involvement prior to death unconfirmed,"Atlanta Constitution, 5/17/1910, p.5",http://sharkattackfile.net/spreadsheets/pdf_directory/1910.05.16.R-yawlboat.pdf
1910.03.31,1910-03-31,1910,Unprovoked,PANAMA,Colón Province,Cristobal,,M,,FATAL,Y,,,"The Ogden Standard, 4/13/1910",http://sharkattackfile.net/spreadsheets/pdf_directory/1910.03.31-Barnes.pdf
1910.03.08,1910-03-08,1910,Unprovoked,NEW ZEALAND,North Island,"Waikanae Beach, Gisborne",Swimming,M,,Lacerations to foot,N,Evening,6' shark,"Poverty Bay Herald, 3/9/1910",http://sharkattackfile.net/spreadsheets/pdf_directory/1910.03.08-McGregor.pdf
1910.03.00,1910-03-01,1910,Provoked,USA,Hawaii,"Pearl Harbor, O'ahu",Diving,M,,No injury,,,Invalid,"The Sun, 4/3/1910; Authenticity questioned by G.H. Balazs in J. Borg, p.70",http://sharkattackfile.net/spreadsheets/pdf_directory/1910.03.00-Lund.pdf
1910.02.16,1910-02-16,1910,Unprovoked,AUSTRALIA,Western Australia,Bunbury,,M,,"Shoulder, back & leg bitten",N,Night,5.5' to 6' shark,"Western Mail, 2/26/1910",http://sharkattackfile.net/spreadsheets/pdf_directory/1910.02.16-Cridland.pdf
1910.01.26,1910-01-26,1910,Unprovoked,AUSTRALIA,New South Wales,Newcastle Harbor,,M,,FATAL,Y,,,"V.M. Coppleson (1962), p.245",http://sharkattackfile.net/spreadsheets/pdf_directory/1910.01.26-Clulow.pdf
1910.00.00.b,1910-01-01,1910,Provoked,USA,Hawaii,"Hilo, Hawai'i",Fishing,M,,"Body bitten by shark/s, but death may have been due to drowning",,,Shark involvement prior to death unconfirmed,"C.H. Townsend; Authenticity questioned by G.H. Balazs in J. Borg, p.70",http://sharkattackfile.net/spreadsheets/pdf_directory/1910.00.00.b-Hilo.pdf
1910.00.00.a,1910-01-01,1910,Unprovoked,PHILIPPINES,Luzon Island,"Polinao Point, Manila",Swimming,M,,"Calf removed, not known if he survived ",UNKNOWN,,6 m [20'] shark,"V.M. Coppleson (1958), p.264",http://sharkattackfile.net/spreadsheets/pdf_directory/1910.00.00.a-Stewart.pdf
1909.12.26.R,1909-11-26,1909,Unprovoked,USA,Florida,"16 miles north of Fort Pierce Inlet, Indian River County ",,M,,Severe lacerations to arm,N,,,"Washington Post, 12/26/1909",http://sharkattackfile.net/spreadsheets/pdf_directory/1909.12.26.R-Hovelsrud.pdf
1909.12.15.R,1909-12-15,1909,Unprovoked,AUSTRALIA,New South Wales,20 miles off Sydney,,M,,FATAL,Y,,,"Star, 12/15/1909",http://sharkattackfile.net/spreadsheets/pdf_directory/1909.12.15.R-Witt.pdf
1909.12.05,1909-12-05,1909,Provoked,AUSTRALIA,New South Wales,Bondi,Fishing,M,,3 fingers bitten by hooked shark PROVOKED INCIDENT,N,,7' shark,"The Advertiser, 12/9/1909",http://sharkattackfile.net/spreadsheets/pdf_directory/1909.12.05-Fisherman.pdf
1909.11.14,,1909,Unprovoked,INDONESIA,30 nm from Singapore,Rhio Strait,,,,"FATAL, 101 people perished, including commander, Joseph Couailhac. Iit was reported that a shoal of sharks circled  passengers in the water and dragged scores of people to their deaths Of the 61 survivors, many were injured by sharks",Y,,,"The Sun, 7/13/1913 ",http://sharkattackfile.net/spreadsheets/pdf_directory/1909.11.14-LaSeyne.pdf
1909.09.04.R,1909-09-04,1909,Provoked,USA,Delaware,"Lewes, Sussex County",,M,,Abrasion to leg from netted shark PROVOKED INCIDENT,N,,5' shark,"Gettysburg Times, 9/4/1909",http://sharkattackfile.net/spreadsheets/pdf_directory/1909.09.04.R-Beach.pdf
1909.08.13,1909-08-13,1909,Unprovoked,USA,Florida,"Pensacola Bay, Escambia County",Fishing,M,,FATAL,Y,,,"Laurel Ledger, 8/19/1909",http://sharkattackfile.net/spreadsheets/pdf_directory/1909.08.13-Craug.pdf
1909.07.24,1909-07-24,1909,Unprovoked,USA,New York,Rockaway,Fishing,M,,Right leg bitten,N,Afternoon,,"NY Times, 7/25/1909",http://sharkattackfile.net/spreadsheets/pdf_directory/1909.07.24-Tyler.pdf
1909.07.15,1909-07-15,1909,Unprovoked,USA,Florida,"Panama City, Bay County",Swimming,M,16,Hip & thigh lacerated,N,,,"News Herald, 7/29/2001",http://sharkattackfile.net/spreadsheets/pdf_directory/1909.07.15-Munson.pdf
1909.06.26.a.R,1909-06-26,1909,Unprovoked,MEXICO,Guerrero,Zacatula,,F,,FATAL,Y,,,"Adams County News, 6/26/1909",http://sharkattackfile.net/spreadsheets/pdf_directory/1909.06.26.a.R-Lopez.pdf
1909.06.26.b.R,1909-06-26,1909,Unprovoked,SOUTH AFRICA,Western Cape Province,Cape Town,,M,,Remains of soldier in uniform. Probable drowning & scavenging,Y,,18-foot shark,"Adams County News, 6/26/1909",http://sharkattackfile.net/spreadsheets/pdf_directory/1909.06.26.b.R-CapeTown.pdf
1909.06.18,1909-06-18,1909,Unprovoked,AUSTRALIA,Queensland,"Middleton Reef, 300 nm from Brisbane",,M,,"FATAL, only his legs, still in sea-boots, were recovered ",Y,,,"Australian Zoologist, viii., 1937, p.207",http://sharkattackfile.net/spreadsheets/pdf_directory/1909.06.18-Errol.pdf
